read_file,total_reads,total_bases,percent_bases_mapped,CP008706_accession,CP008706_coverage_avg,CP008706_coverage_rel_variance,CP008706_num_reads_mapped,CP008706_num_bases_mapped,CP008706_length,CP008706_nbinom_fit_mean,CP008706_nbinom_fit_rel_var,CP008707_accession,CP008707_coverage_avg,CP008707_coverage_rel_variance,CP008707_num_reads_mapped,CP008707_num_bases_mapped,CP008707_length,CP008707_nbinom_fit_mean,CP008707_nbinom_fit_rel_var,CP008708_accession,CP008708_coverage_avg,CP008708_coverage_rel_variance,CP008708_num_reads_mapped,CP008708_num_bases_mapped,CP008708_length,CP008708_nbinom_fit_mean,CP008708_nbinom_fit_rel_var,CP008709_accession,CP008709_coverage_avg,CP008709_coverage_rel_variance,CP008709_num_reads_mapped,CP008709_num_bases_mapped,CP008709_length,CP008709_nbinom_fit_mean,CP008709_nbinom_fit_rel_var
NRA315_S123_L008_R1_001_fastxclipper_trimmed,3838672,345117791,1.0,CP008706,74.52,15.81,3272054.0,294683526.27,3972672,83.37,15.51,CP008707,41.0,12.15,20143.0,1793003.0,83610,40.55,7.76,CP008708,2136.4,646.33,208523.0,18606746.0,8731,2052.0,569.4,CP008709,14616.76,1642.24,301979.0,26382361.0,1967,12839.33,494.51
NRA316_S124_L008_R1_001_fastxclipper_trimmed,3505053,314109709,1.0,CP008706,70.13,16.24,3115463.0,279385599.07,3972672,75.76,14.65,CP008707,152.21,38.32,122412.0,10819879.0,83610,175.25,45.82,CP008708,816.58,237.74,78956.0,7045056.0,8731,786.33,251.21,CP008709,7985.35,891.12,164505.0,14421557.0,1967,7004.8,287.71
NRA317_S125_L008_R1_001_fastxclipper_trimmed,3583272,320576550,1.0,CP008706,73.24,17.77,3274145.0,293130447.17,3972672,79.47,16.45,CP008707,108.23,30.0,87427.0,7702191.0,83610,124.48,34.45,CP008708,653.89,199.0,63574.0,5643582.0,8731,781.0,287.0,CP008709,6605.12,770.14,137290.0,11939437.0,1967,5656.84,187.21
NRA319_S126_L008_R1_001_fastxclipper_trimmed,3437615,309678536,1.0,CP008706,71.34,16.14,3140003.0,283010164.31,3972672,77.41,14.66,CP008707,38.85,11.16,27636.0,2459946.0,83610,43.31,11.65,CP008708,1171.71,342.36,112801.0,10087407.0,8731,830.4,141.72,CP008709,6642.74,754.91,136743.0,11994134.0,1967,5690.24,168.47
NRA320_S127_L008_R1_001_fastxclipper_trimmed,2515854,226058255,1.0,CP008706,55.11,11.98,2427864.0,218129331.71,3972672,61.16,11.59,CP008707,29.14,9.42,14947.0,1322011.0,83610,31.11,8.16,CP008708,314.42,96.68,30634.0,2713919.0,8731,238.59,44.03,CP008709,1602.11,190.16,33009.0,2884855.0,1967,1347.13,40.2
NRA321_S128_L008_R1_001_fastxclipper_trimmed,2516393,225368448,1.0,CP008706,52.09,11.66,2305932.0,206580862.33,3972672,57.61,11.29,CP008707,34.15,10.94,19344.0,1701030.0,83610,40.97,13.76,CP008708,846.35,257.21,82011.0,7293809.0,8731,538.0,75.17,CP008709,4558.03,527.46,93881.0,8214482.0,1967,3890.97,130.56
NRA322_S129_L008_R1_001_fastxclipper_trimmed,3001523,267498443,1.0,CP008706,60.61,13.42,2693260.0,239957199.78,3972672,66.82,13.45,CP008707,55.51,15.32,27605.0,2415860.0,83610,58.84,14.08,CP008708,873.43,250.92,84306.0,7532341.0,8731,673.35,110.05,CP008709,8386.44,917.52,172236.0,15140415.0,1967,7992.82,977.0
NRA323_S130_L008_R1_001_fastxclipper_trimmed,3197955,285652832,1.0,CP008706,65.55,15.48,2912067.0,260066682.71,3972672,71.35,14.65,CP008707,57.88,15.42,29125.0,2554484.0,83610,62.56,14.96,CP008708,797.4,246.15,77043.0,6874224.0,8731,536.36,74.98,CP008709,7615.04,871.37,155839.0,13717413.0,1967,7034.49,504.72
NRA324_S131_L008_R1_001_fastxclipper_trimmed,3238486,289642737,1.0,CP008706,66.58,14.61,2961412.0,264806725.49,3972672,73.69,14.28,CP008707,59.57,16.38,30152.0,2652632.0,83610,68.57,18.0,CP008708,790.23,236.3,76693.0,6826339.0,8731,714.37,199.79,CP008709,7229.89,841.7,147515.0,13023397.0,1967,7188.89,755.77
NRA325_S132_L008_R1_001_fastxclipper_trimmed,2791865,249950819,1.0,CP008706,52.8,13.42,2331883.0,208975649.33,3972672,56.31,12.81,CP008707,20.0,5.57,14840.0,1310963.0,83610,22.12,6.16,CP008708,1329.76,389.05,128101.0,11463975.0,8731,1103.97,245.55,CP008709,13839.53,1592.81,284751.0,24944791.0,1967,12147.28,526.14
