read_file,total_reads,total_bases,percent_bases_mapped,chr_coverage_avg,chr_coverage_rel_variance,chr_num_reads_mapped,chr_num_bases_mapped,chr_length,chr_nbinom_fit_mean,chr_nbinom_fit_rel_var,pab1_coverage_avg,pab1_coverage_rel_variance,pab1_num_reads_mapped,pab1_num_bases_mapped,pab1_length,pab1_nbinom_fit_mean,pab1_nbinom_fit_rel_var,pab2_coverage_avg,pab2_coverage_rel_variance,pab2_num_reads_mapped,pab2_num_bases_mapped,pab2_length,pab2_nbinom_fit_mean,pab2_nbinom_fit_rel_var,pab3_coverage_avg,pab3_coverage_rel_variance,pab3_num_reads_mapped,pab3_num_bases_mapped,pab3_length,pab3_nbinom_fit_mean,pab3_nbinom_fit_rel_var
NRA285_S95_L008_R1_001_minlen_trimmed,1799991,177445963,177445963,40.17,57.12,1613231.0,158987700.32,3972672,38.98,5.9,26.25,10.15,18385.0,1811628.0,83610,30.14,7.26,790.0,208.51,68899.0,6794212.0,8731,992.72,97.78,4771.62,240.34,88110.0,8677057.0,1967,4819.9,146.45
NRA286_S96_L008_R1_001_minlen_trimmed,1315520,129988704,129988704,30.39,5.28,1213040.0,119818822.0,3972672,31.81,4.35,24.51,6.0,14362.0,1420944.0,83610,26.64,5.28,462.35,122.69,40208.0,3974457.0,8731,562.86,59.66,2270.23,94.28,41981.0,4142159.0,1967,2266.93,68.35
NRA287_S97_L008_R1_001_minlen_trimmed,1270586,125132054,125132054,26.1,4.75,1044155.0,102822683.0,3972672,27.43,3.92,8.1,2.41,5057.0,499206.0,83610,8.43,2.51,1246.82,337.87,108924.0,10717155.0,8731,1641.44,283.51,5447.63,233.48,101028.0,9919066.0,1967,5457.2,157.94
NRA288_S98_L008_R1_001_minlen_trimmed,868775,86390919,86390919,18.93,3.6,756859.0,75231998.87,3972672,19.18,3.09,14.68,3.29,10249.0,1021996.0,83610,15.21,2.84,548.58,121.37,47196.0,4701297.0,8731,657.59,52.3,2656.87,124.07,48862.0,4854039.0,1967,2706.49,84.65
NRA289_S99_L008_R1_001_minlen_trimmed,1590710,156853379,156853379,34.49,5.9,1380498.0,136089868.52,3972672,35.96,4.77,209.47,43.7,80907.0,7980625.0,83610,220.9,26.92,582.79,134.76,50865.0,5011568.0,8731,866.09,223.62,3739.96,179.37,68823.0,6773082.0,1967,3687.1,118.86
NRA290_S100_L008_R1_001_minlen_trimmed,1604096,151599307,151599307,33.27,5.56,1393901.0,131748378.0,3972672,37.0,4.76,36.06,9.73,27334.0,2554035.0,83610,40.45,11.79,646.67,162.24,59160.0,5587213.0,8731,2503.73,1542.55,5676.36,330.14,110341.0,10348888.0,1967,5600.36,339.05
NRA291_S101_L008_R1_001_minlen_trimmed,2419230,228730519,228730519,52.81,143.49,2213442.0,209153566.07,3972672,52.74,6.0,33.33,8.77,25189.0,2362505.0,83610,39.48,11.91,628.85,151.63,57387.0,5436273.0,8731,4517.69,3263.24,5536.21,277.32,106873.0,10105183.0,1967,5480.48,285.55
NRA292_S102_L008_R1_001_minlen_trimmed,2391804,226943620,226943620,46.91,7.32,1950073.0,184808087.67,3972672,51.94,5.92,17.29,4.99,11103.0,1049837.0,83610,20.53,7.33,1365.47,329.19,123917.0,11796836.0,8731,1674.32,233.76,14470.33,745.31,277905.0,26383586.0,1967,14344.23,768.47
NRA293_S103_L008_R1_001_minlen_trimmed,2512313,236499912,236499912,53.7,13.05,2262304.0,212929147.39,3972672,55.56,11.4,55.12,15.12,42181.0,3930524.0,83610,69.91,23.16,864.48,215.15,79467.0,7479905.0,8731,1306.43,437.98,5739.43,366.88,111681.0,10454913.0,1967,5537.41,314.12
NRA294_S104_L008_R1_001_minlen_trimmed,2126015,201317088,201317088,45.19,13.89,1891520.0,178999479.2,3972672,48.26,6.66,23.73,6.25,18030.0,1688126.0,83610,28.35,9.52,681.46,159.54,62139.0,5892640.0,8731,849.44,92.4,7116.18,371.6,136843.0,12956496.0,1967,7123.72,386.63
NRA295_S105_L008_R1_001_minlen_trimmed,2184942,207250494,207250494,47.33,9.43,1978557.0,187727224.43,3972672,50.84,8.37,45.75,11.84,34368.0,3240199.0,83610,49.16,11.98,613.54,152.67,56704.0,5366403.0,8731,0.0,0.0,5192.15,306.23,101084.0,9459481.0,1967,5342.72,356.46
NRA296_S106_L008_R1_001_minlen_trimmed,2162343,205176552,205176552,48.12,10.99,2008735.0,190533781.56,3972672,49.95,9.58,32.15,9.0,14914.0,1399729.0,83610,37.25,10.38,452.17,107.92,40783.0,3876576.0,8731,595.63,159.83,4373.89,242.02,84322.0,7971329.0,1967,4586.09,316.53
NRA297_S107_L008_R1_001_minlen_trimmed,1704321,167214196,167214196,36.95,8.61,1498084.0,146920090.33,3972672,37.54,7.01,30.03,8.31,17243.0,1691651.0,83610,31.5,8.1,781.95,204.9,68441.0,6725235.0,8731,1368.03,471.08,5826.2,306.8,107782.0,10563243.0,1967,5816.41,196.09
NRA298_S108_L008_R1_001_minlen_trimmed,1189523,117195685,117195685,25.41,6.42,1026567.0,101073248.0,3972672,25.1,4.97,27.87,7.76,14139.0,1395316.0,83610,29.41,6.06,649.83,163.94,56318.0,5568304.0,8731,831.16,125.48,4493.17,237.63,82768.0,8158029.0,1967,4500.05,167.88
NRA299_S109_L008_R1_001_minlen_trimmed,1460619,142048288,142048288,31.07,7.09,1266192.0,123068936.1,3972672,32.09,6.13,38.22,9.91,27743.0,2694303.0,83610,42.67,10.33,711.25,172.51,62834.0,6122033.0,8731,616.79,170.8,4975.21,246.18,92906.0,9039544.0,1967,4911.3,178.18
NRA301_S110_L008_R1_001_minlen_trimmed,1125883,111448819,111448819,21.75,5.05,875678.0,86615297.67,3972672,21.68,4.14,17.5,4.25,12400.0,1229671.0,83610,18.12,3.57,1080.54,253.81,93566.0,9286304.0,8731,1323.46,104.4,7105.42,344.73,130598.0,12927458.0,1967,7223.84,225.25
NRA302_S111_L008_R1_001_minlen_trimmed,2253911,214417293,214417293,49.67,9.97,2070422.0,196930686.33,3972672,53.33,8.88,60.12,16.04,45275.0,4267599.0,83610,63.91,18.87,679.68,174.82,61744.0,5879815.0,8731,826.63,117.74,3378.84,186.65,65062.0,6153578.0,1967,3367.43,189.98
